ts_server,watt,voltage,current,frequency,energy_kwh,pf,source,timestamp
1766793192966,25.1,223.2,0.119,50.0,3.97,0.95,json_import,2025-12-26 23:53:12.966
1766793492983,25.4,224.60001,0.12,50.0,3.972,0.94,json_import,2025-12-26 23:58:12.983
1766793793105,22.7,223.7,0.107,50.0,3.974,0.95,json_import,2025-12-27 00:03:13.105
1766794092983,22.9,222.60001,0.108,50.0,3.976,0.95,json_import,2025-12-27 00:08:12.983
1766794392977,20.7,225.10001,0.095,50.0,3.978,0.97,json_import,2025-12-27 00:13:12.977
1766794693719,20.6,224.60001,0.094,50.0,3.979,0.98,json_import,2025-12-27 00:18:13.719
1766794992990,20.6,222.89999,0.095,49.9,3.981,0.97,json_import,2025-12-27 00:23:12.990
1766795292994,20.5,223.89999,0.094,50.0,3.983,0.97,json_import,2025-12-27 00:28:12.994
1766795593213,20.7,223.60001,0.095,50.0,3.984,0.97,json_import,2025-12-27 00:33:13.213
1766795893011,20.6,222.39999,0.095,50.0,3.986,0.98,json_import,2025-12-27 00:38:13.011
1766796192999,20.7,223.3,0.095,50.0,3.988,0.98,json_import,2025-12-27 00:43:12.999
1766796493041,20.6,223.5,0.095,50.0,3.99,0.97,json_import,2025-12-27 00:48:13.041
1766796793010,23.3,222.89999,0.108,50.0,3.992,0.97,json_import,2025-12-27 00:53:13.010
1766797093023,23.3,222.0,0.108,50.0,3.993,0.97,json_import,2025-12-27 00:58:13.023
1766797393140,23.2,224.60001,0.107,50.0,3.995,0.97,json_import,2025-12-27 01:03:13.140
1766797693043,23.0,222.7,0.107,49.9,3.997,0.97,json_import,2025-12-27 01:08:13.043
1766797993038,23.6,224.8,0.111,50.0,3.999,0.95,json_import,2025-12-27 01:13:13.038
1766798293822,23.6,226.10001,0.111,50.0,4.001,0.94,json_import,2025-12-27 01:18:13.822
1766798593036,23.5,222.8,0.11,50.0,4.003,0.96,json_import,2025-12-27 01:23:13.036
1766798893051,23.4,222.10001,0.11,50.0,4.005,0.96,json_import,2025-12-27 01:28:13.051
1766799193222,23.7,223.8,0.112,49.9,4.007,0.95,json_import,2025-12-27 01:33:13.222
1766799493059,23.3,225.0,0.109,50.0,4.009,0.95,json_import,2025-12-27 01:38:13.059
1766799793064,23.4,223.39999,0.11,50.0,4.011,0.95,json_import,2025-12-27 01:43:13.064
1766800093200,23.8,226.60001,0.111,50.0,4.013,0.95,json_import,2025-12-27 01:48:13.200
1766800393073,21.0,223.89999,0.096,50.0,4.015,0.98,json_import,2025-12-27 01:53:13.073
1766800693064,24.0,225.60001,0.11,50.0,4.016,0.97,json_import,2025-12-27 01:58:13.064
1766800993101,23.7,223.7,0.11,50.0,4.018,0.96,json_import,2025-12-27 02:03:13.101
1766801293100,23.8,221.7,0.11,50.0,4.02,0.98,json_import,2025-12-27 02:08:13.100
1766801593101,23.4,220.89999,0.109,50.0,4.022,0.97,json_import,2025-12-27 02:13:13.101
1766801893815,4.5,227.8,0.023,50.0,4.024,0.86,json_import,2025-12-27 02:18:13.815
1766802193087,6.2,226.2,0.029,50.0,4.025,0.95,json_import,2025-12-27 02:23:13.087
1766802493090,14.8,223.7,0.067,50.0,4.026,0.99,json_import,2025-12-27 02:28:13.090
1766802793121,14.6,222.5,0.066,49.9,4.027,0.99,json_import,2025-12-27 02:33:13.121
1766803093099,14.6,223.60001,0.066,50.0,4.028,0.99,json_import,2025-12-27 02:38:13.099
1766803393099,14.0,224.89999,0.063,50.0,4.03,0.99,json_import,2025-12-27 02:43:13.099
1766803693130,14.1,225.8,0.064,50.0,4.031,0.98,json_import,2025-12-27 02:48:13.130
1766803993124,16.5,223.60001,0.076,49.9,4.032,0.97,json_import,2025-12-27 02:53:13.124
1766804293117,7.5,226.60001,0.04,50.0,4.033,0.83,json_import,2025-12-27 02:58:13.117
1766804593130,9.4,224.3,0.047,50.0,4.034,0.89,json_import,2025-12-27 03:03:13.130
1766804893117,19.3,224.89999,0.092,49.9,4.036,0.93,json_import,2025-12-27 03:08:13.117
1766805193123,21.3,228.10001,0.097,49.9,4.038,0.96,json_import,2025-12-27 03:13:13.123
1766805493717,21.1,227.5,0.096,49.9,4.039,0.97,json_import,2025-12-27 03:18:13.717
1766805793115,31.0,225.5,0.14,50.0,4.041,0.98,json_import,2025-12-27 03:23:13.115
1766806093120,46.3,223.10001,0.211,49.9,4.044,0.98,json_import,2025-12-27 03:28:13.120
1766806393154,48.0,222.89999,0.216,49.9,4.048,1.0,json_import,2025-12-27 03:33:13.154
1766806693022,48.1,221.8,0.217,49.9,4.052,1.0,json_import,2025-12-27 03:38:13.022
1766806993136,48.4,223.3,0.217,50.0,4.056,1.0,json_import,2025-12-27 03:43:13.136
1766807293154,38.2,224.10001,0.171,50.0,4.06,1.0,json_import,2025-12-27 03:48:13.154
1766807593132,22.6,223.60001,0.101,49.9,4.062,1.0,json_import,2025-12-27 03:53:13.132
1766807893184,22.4,224.39999,0.1,50.0,4.064,1.0,json_import,2025-12-27 03:58:13.184
1766808193313,22.7,226.2,0.101,50.0,4.066,0.99,json_import,2025-12-27 04:03:13.313
1766808493142,22.7,225.89999,0.101,49.9,4.068,0.99,json_import,2025-12-27 04:08:13.142
1766808793146,25.1,224.3,0.112,49.9,4.07,1.0,json_import,2025-12-27 04:13:13.146
1766809093991,25.2,225.7,0.112,50.0,4.072,1.0,json_import,2025-12-27 04:18:13.991
1766809393171,25.8,225.10001,0.115,50.0,4.074,1.0,json_import,2025-12-27 04:23:13.171
