timestamp,watt,voltage,current,frequency,energy_kwh,pf
2025-12-25 09:49:45.762,0.0,223.5,0.0,50.0,3.217,0.0
2025-12-25 09:54:45.867,0.0,225.3,0.0,50.0,3.217,0.0
2025-12-25 09:59:45.761,0.0,226.10001,0.0,50.0,3.217,0.0
2025-12-25 10:03:43.961,0.0,227.10001,0.0,50.0,3.217,0.0
2025-12-25 10:08:43.968,0.0,225.89999,0.0,50.0,3.217,0.0
2025-12-25 10:13:43.988,0.0,227.2,0.0,50.0,3.217,0.0
2025-12-25 10:18:43.991,0.0,226.5,0.0,50.0,3.217,0.0
2025-12-25 10:23:11.334,26.2,225.8,0.121,50.0,3.217,0.96
2025-12-25 10:28:11.340,26.3,226.8,0.121,50.0,3.219,0.96
2025-12-25 10:33:11.381,26.0,227.3,0.12,50.0,3.221,0.95
2025-12-25 10:38:11.395,22.3,226.7,0.1,49.9,3.224,0.98
2025-12-25 10:43:11.236,23.3,226.2,0.105,50.0,3.225,0.98
2025-12-25 10:48:11.426,23.2,226.60001,0.104,50.0,3.227,0.98
2025-12-25 10:53:11.360,22.1,224.60001,0.1,50.0,3.229,0.98
2025-12-25 10:58:11.362,23.3,225.89999,0.105,50.0,3.231,0.98
2025-12-25 11:03:11.527,23.3,225.5,0.105,50.0,3.233,0.98
2025-12-25 11:08:11.349,22.9,225.60001,0.103,50.0,3.235,0.99
2025-12-25 11:13:11.361,26.8,225.5,0.121,50.0,3.237,0.98
2025-12-25 11:18:12.016,26.6,226.10001,0.12,50.0,3.239,0.98
2025-12-25 11:23:11.380,25.4,226.10001,0.115,50.0,3.242,0.98
2025-12-25 11:28:11.397,23.6,227.0,0.106,50.0,3.244,0.98
2025-12-25 11:33:11.411,23.8,225.5,0.108,50.0,3.246,0.98
2025-12-25 11:38:11.283,26.0,224.89999,0.12,50.0,3.248,0.96
2025-12-25 11:43:11.403,26.0,226.7,0.12,50.0,3.25,0.96
2025-12-25 11:48:11.515,51.7,225.0,0.233,50.0,3.252,0.99
2025-12-25 11:53:11.403,35.3,225.7,0.159,50.0,3.257,0.98
2025-12-25 11:58:11.389,35.2,226.2,0.159,50.0,3.26,0.98
2025-12-25 12:03:11.426,34.2,226.10001,0.154,50.0,3.263,0.98
2025-12-25 12:08:11.456,36.4,226.8,0.164,50.0,3.266,0.98
2025-12-25 12:13:11.541,36.2,225.89999,0.164,50.0,3.269,0.98
2025-12-25 12:18:12.050,25.6,225.89999,0.117,50.0,3.272,0.97
2025-12-25 12:23:11.425,26.7,227.3,0.121,50.0,3.274,0.97
2025-12-25 12:28:11.415,25.4,227.89999,0.115,50.0,3.276,0.97
2025-12-25 12:33:11.515,26.5,227.0,0.12,50.0,3.278,0.97
2025-12-25 12:38:11.448,23.7,225.8,0.107,50.0,3.28,0.98
2025-12-25 12:43:11.429,22.5,225.5,0.102,50.0,3.282,0.98
2025-12-25 12:48:11.669,23.7,225.5,0.107,50.0,3.284,0.98
2025-12-25 12:53:11.456,7.5,228.8,0.034,50.0,3.286,0.96
2025-12-25 12:58:11.451,6.4,229.5,0.029,50.0,3.286,0.96
2025-12-25 13:03:11.662,7.6,228.89999,0.034,49.9,3.287,0.98
2025-12-25 13:08:11.631,6.3,227.8,0.029,49.9,3.287,0.95
2025-12-25 13:13:11.454,7.4,228.0,0.033,49.9,3.288,0.98
2025-12-25 13:18:12.491,10.2,228.0,0.049,50.0,3.289,0.91
2025-12-25 13:23:11.447,12.8,226.89999,0.061,50.0,3.29,0.92
2025-12-25 13:28:11.792,12.5,226.0,0.06,50.0,3.291,0.92
2025-12-25 13:33:11.620,11.3,226.5,0.056,50.0,3.292,0.89
2025-12-25 13:38:11.499,12.2,226.3,0.059,50.0,3.293,0.91
2025-12-25 13:43:11.520,9.9,226.3,0.047,50.0,3.294,0.93
2025-12-25 13:48:11.624,8.8,226.8,0.043,50.0,3.294,0.9
2025-12-25 13:53:11.479,7.5,227.7,0.035,49.9,3.295,0.94
2025-12-25 13:58:11.494,7.5,226.5,0.034,50.0,3.296,0.97
2025-12-25 14:03:11.504,7.5,227.5,0.035,50.0,3.296,0.94
2025-12-25 14:08:11.481,7.6,228.39999,0.034,50.0,3.297,0.98
2025-12-25 14:13:11.592,6.4,228.60001,0.03,50.0,3.297,0.93
