ts_server,watt,voltage,current,frequency,energy_kwh,pf,source,timestamp
1766706791964,18.7,227.7,0.085,50.0,3.504,0.97,json_import,2025-12-25 23:53:11.964
1766707092095,18.9,226.39999,0.086,50.0,3.506,0.97,json_import,2025-12-25 23:58:12.095
1766707391969,18.6,222.5,0.085,49.9,3.507,0.98,json_import,2025-12-26 00:03:11.969
1766707691981,18.6,223.0,0.085,50.0,3.509,0.98,json_import,2025-12-26 00:08:11.981
1766707992402,19.0,227.10001,0.086,50.0,3.51,0.97,json_import,2025-12-26 00:13:12.402
1766708292594,18.9,227.8,0.086,50.0,3.512,0.96,json_import,2025-12-26 00:18:12.594
1766708591992,18.7,222.89999,0.086,50.0,3.514,0.98,json_import,2025-12-26 00:23:11.992
1766708892077,21.5,224.0,0.099,50.0,3.515,0.97,json_import,2025-12-26 00:28:12.077
1766709191982,6.4,226.60001,0.029,49.9,3.516,0.97,json_import,2025-12-26 00:33:11.982
1766709492003,8.9,226.0,0.046,49.9,3.517,0.86,json_import,2025-12-26 00:38:12.003
1766709792097,6.4,227.2,0.033,49.9,3.518,0.85,json_import,2025-12-26 00:43:12.097
1766710092006,6.3,227.2,0.033,50.0,3.518,0.84,json_import,2025-12-26 00:48:12.006
1766710392008,6.1,225.39999,0.032,50.0,3.519,0.85,json_import,2025-12-26 00:53:12.008
1766710692244,6.3,226.89999,0.033,50.0,3.519,0.84,json_import,2025-12-26 00:58:12.244
1766710992015,6.2,226.89999,0.032,50.0,3.52,0.85,json_import,2025-12-26 01:03:12.015
1766711291999,3.9,226.3,0.0,49.9,3.52,1.0,json_import,2025-12-26 01:08:11.999
1766711592042,3.8,228.89999,0.0,49.9,3.52,1.0,json_import,2025-12-26 01:13:12.042
1766711892700,3.9,228.3,0.0,50.0,3.521,1.0,json_import,2025-12-26 01:18:12.700
1766712192057,3.9,226.5,0.0,50.0,3.521,1.0,json_import,2025-12-26 01:23:12.057
1766713092031,6.2,225.2,0.029,50.0,3.522,0.95,json_import,2025-12-26 01:38:12.031
1766713392195,6.9,220.89999,0.032,50.0,3.523,0.98,json_import,2025-12-26 01:43:12.195
1766713692056,13.4,222.89999,0.06,50.0,3.524,1.0,json_import,2025-12-26 01:48:12.056
1766713992057,13.6,224.8,0.06,49.9,3.525,1.0,json_import,2025-12-26 01:53:12.057
1766714292107,12.9,225.89999,0.057,50.0,3.526,1.0,json_import,2025-12-26 01:58:12.107
1766714592069,12.7,224.60001,0.056,50.0,3.527,1.0,json_import,2025-12-26 02:03:12.069
1766714892100,13.0,226.89999,0.057,49.9,3.528,1.0,json_import,2025-12-26 02:08:12.100
1766715192114,15.6,226.60001,0.071,50.0,3.53,0.97,json_import,2025-12-26 02:13:12.114
1766715492695,15.6,227.2,0.071,50.0,3.531,0.97,json_import,2025-12-26 02:18:12.695
1766715792062,6.5,229.2,0.033,50.0,3.531,0.86,json_import,2025-12-26 02:23:12.062
1766716091996,16.7,227.10001,0.075,49.9,3.533,0.98,json_import,2025-12-26 02:28:11.996
1766716392079,17.0,226.60001,0.077,49.9,3.534,0.97,json_import,2025-12-26 02:33:12.079
1766716692083,19.5,227.0,0.089,49.9,3.536,0.97,json_import,2025-12-26 02:38:12.083
1766716992116,20.9,226.3,0.109,50.0,3.537,0.85,json_import,2025-12-26 02:43:12.116
